Cat logo de productos / servicios.,,,,,,,,
Fecha inicio de vigencia,Fecha fin de vigencia,Versi¢n,Revisi¢n,,,,,
01/01/2017,,1.0,0,,,,,
,,,,,,,,
c_ClaveProdServ,Descripci¢n,FechaInicioVigencia,FechaFinVigencia,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,,
26141905,Sistemas de medida de masa nucle¢nica industrial por unidad de mineral,01/10/2016,,Opcional,No,,,
26141906,Sistemas de medida de la humedad industrial nucle¢nica,01/10/2016,,Opcional,No,,,
26141907,Sistemas de medida el espesor industrial nucle¢nico,01/10/2016,,Opcional,No,,,
26141908,Sistemas de medida del flujo industrial nucle¢nico,01/10/2016,,Opcional,No,,,
26141909,Separadores de is¢topos,01/10/2016,,Opcional,No,,,
26141910,Instalaciones de producci¢n de is¢topos,01/10/2016,,Opcional,No,,,
26141911,Medidores de actividad del calibrador de is¢topos,01/10/2016,,Opcional,No,,,
26142000,Equipo de irradiaci¢n,01/10/2016,,Opcional,No,,,
26142001,Fuentes de irradiaci¢n gamma,01/10/2016,,Opcional,No,,,
26142002,Sistemas de imanes,01/10/2016,,Opcional,No,,,
26142003,Unidades electr¢nicas nucleares nim,01/10/2016,,Opcional,No,,,
26142004,Irradiadores de neutrones,01/10/2016,,Opcional,No,,,
26142005,C psulas para ensayos de irradiaci¢n,01/10/2016,,Opcional,No,,,
26142006,Sistema de transferencia de muestras de irradiaci¢n,01/10/2016,,Opcional,No,,,
26142007,Generadores de neutrones,01/10/2016,,Opcional,No,,,
26142100,Equipos para reactores nucleares,01/10/2016,,Opcional,No,,,
26142101,Recipientes de irradiaci¢n de espec¡menes para reactores nucleares,01/10/2016,,Opcional,No,,,
26142106,Sistemas de varilla de mando para reactores nucleares,01/10/2016,,Opcional,No,,,
26142108,Instrumentaci¢n de flujo de neutrones incorporada al n£cleo para reactores nucleares,01/10/2016,,Opcional,No,,,
26142117,Instrumentaci¢n de terremotos para reactores nucleares,01/10/2016,,Opcional,No,,,
26142200,Equipo para combustible nuclear,01/10/2016,,Opcional,No,,,
26142201,Tubos con revestimiento para combustible nuclear,01/10/2016,,Opcional,No,,,
26142202,Sistemas de detecci¢n de fallo de elementos para reactores nucleares,01/10/2016,,Opcional,No,,,
26142300,Equipos protectores contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142302,Blindajes de plomo,01/10/2016,,Opcional,No,,,
26142303,Distintivo de pel¡cula,01/10/2016,,Opcional,No,,,
26142304,Equipo radiogr fico,01/10/2016,,Opcional,No,,,
26142306,Recipientes blindados contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142307,C maras de plomo para protecci¢n contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142308,Ladrillos de plomo para protecci¢n contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142310,Cajas selladas con guantes para protecci¢n contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142311,Ventanas para blindaje contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142312,Plomo para blindaje contra la radiaci¢n,01/10/2016,,Opcional,No,,,
26142400,Equipo para residuos radiactivos,01/10/2016,,Opcional,No,,,
26142401,Compactadores o incineradores para el tratamiento de residuos radiactivos,01/10/2016,,Opcional,No,,,
26142402,Absorbentes de radiaciones nucleares,01/10/2016,,Opcional,No,,,
26142403,"Evaporadores, concentradores o secadores de energ¡a at¢mica",01/10/2016,,Opcional,No,,,
26142404,Sistemas de inter - bloqueo de las puertas,01/10/2016,,Opcional,No,,,
26142405,Sistemas de dosificaci¢n de residuos radiactivos,01/10/2016,,Opcional,No,,,
26142406,Sistemas de solidificaci¢n de residuos radiactivos,01/10/2016,,Opcional,No,,,
26142407,Sistemas de eliminaci¢n de residuos radiactivos,01/10/2016,,Opcional,No,,,
26142408,Instalaciones para el tratamiento de residuos radiactivos,01/10/2016,,Opcional,No,,,
27111500,Herramientas de corte y engarzado y punzones,01/10/2016,,Opcional,No,,,
27111501,Hojas de cuchillo,01/10/2016,,Opcional,No,,,
27111502,Navajas de afeitar,01/10/2016,,Opcional,No,,,
27111503,Cuchillos de diversas aplicaciones,01/10/2016,,Opcional,No,,,
27111504,Navajas de bolsillo,01/10/2016,,Opcional,No,,,
27111505,Sets para manicure,01/10/2016,,Opcional,No,,,
27111506,Cizallas,01/10/2016,,Opcional,No,,,
27111507,Cortadores de metal,01/10/2016,,Opcional,No,,,
27111508,Sierras,01/10/2016,,Opcional,No,,,
27111509,Barrenas,01/10/2016,,Opcional,No,,,
27111510,Herramientas para desforrar,01/10/2016,,Opcional,No,,,
27111511,Cortadores de alambres,01/10/2016,,Opcional,No,,,
27111512,Cortadores de pernos,01/10/2016,,Opcional,No,,,
27111513,Cortadores de manguera,01/10/2016,,Opcional,No,,,
27111514,Cortadores de vidrio,01/10/2016,,Opcional,No,,,
27111515,Taladro de mano,01/10/2016,,Opcional,No,,,
27111516,Alicates de perforaci¢n,01/10/2016,,Opcional,No,,,
27111517,Dispensadores o juegos de hojas de cuchilla,01/10/2016,,Opcional,No,,,
27111518,Herramienta para engastar y doblar alambre,01/10/2016,,Opcional,No,,,
27111519,Tijeras para esta¤o,01/10/2016,,Opcional,No,,,
27111520,Rompetuercas,01/10/2016,,Opcional,No,,,
27111521,Recortadoras de chapa de u¤a vibratoria,01/10/2016,,Opcional,No,,,
27111522,Herramienta para aboquillar o ensanchar,01/10/2016,,Opcional,No,,,
27111523,Raspador de vidrio,01/10/2016,,Opcional,No,,,
27111524,Cortadora de ribetes,01/10/2016,,Opcional,No,,,
27111525,Tenazas,01/10/2016,,Opcional,No,,,
27111526,Herramienta para quitar rebabas,01/10/2016,,Opcional,No,,,
27111527,Cortador de tacos,01/10/2016,,Opcional,No,,,
27111529,Tijeras aisladas,01/10/2016,,Opcional,No,,,
27111530,Tijeras de pescador,01/10/2016,,Opcional,No,,,
27111531,Tijeras para el pelo,01/10/2016,,Opcional,No,,,
27111532,Tijeras de joyer¡a,01/10/2016,,Opcional,No,,,
27111533,Tijeras de carnicero,01/10/2016,,Opcional,No,,,
27111534,Comp s de corte,01/10/2016,,Opcional,No,,,
27111535,Tijeras de alambre,01/10/2016,,Opcional,No,,,
27111536,Cortador de c¡rculos,01/10/2016,,Opcional,No,,,
27111537,Broca para madera,01/10/2016,,Opcional,No,,,
27111538,Broca forstner,01/10/2016,,Opcional,No,,,
27111539,Broca para madera plana,01/10/2016,,Opcional,No,,,
27111540,Broca para baldosa,01/10/2016,,Opcional,No,,,
27111541,Punta gu¡a de bola,01/10/2016,,Opcional,No,,,
27111542,Broca de punto de espuela,01/10/2016,,Opcional,No,,,
27111543,Broca de mamposter¡a,01/10/2016,,Opcional,No,,,
27111544,Sierra de hender,01/10/2016,,Opcional,No,,,
27111545,Sierra de hender biselada,01/10/2016,,Opcional,No,,,
27111546,Sierra de panel,01/10/2016,,Opcional,No,,,
27111547,Sierra de pisos,01/10/2016,,Opcional,No,,,
27111548,Sierra tenon,01/10/2016,,Opcional,No,,,
27111549,Sierra para herraduras,01/10/2016,,Opcional,No,,,
27111550,Sierra de mo¤o,01/10/2016,,Opcional,No,,,
27111551,Sierra de troncos,01/10/2016,,Opcional,No,,,
27111552,Segueta,01/10/2016,,Opcional,No,,,
27111553,Sierra de dos hombres,01/10/2016,,Opcional,No,,,
27111554,Afilador de cuchillas,01/10/2016,,Opcional,No,,,
27111555,Punz¢n central,01/10/2016,,Opcional,No,,,
27111556,Punz¢n hueco,01/10/2016,,Opcional,No,,,
27111557,Punz¢n c¢nico,01/10/2016,,Opcional,No,,,
27111558,Pinz¢n de pasador paralelo,01/10/2016,,Opcional,No,,,
27111559,Sierra para metales,01/10/2016,,Opcional,No,,,
27111560,Mini alicates,01/10/2016,,Opcional,No,,,
27111561,Caja de ingletear,01/10/2016,,Opcional,No,,,
27111562,Cortadora de cables,01/10/2016,,Opcional,No,,,
27111600,Herramientas de perfilar,01/10/2016,,Opcional,No,,,
27111601,Mazas de hierro,01/10/2016,,Opcional,No,,,
27111602,Martillos,01/10/2016,,Opcional,No,,,
27111603,Yunques,01/10/2016,,Opcional,No,,,
27111604,Hachas de mano,01/10/2016,,Opcional,No,,,
27111605,Picas,01/10/2016,,Opcional,No,,,
27111607,Herramientas de recalcar,01/10/2016,,Opcional,No,,,
27111608,Enderezadores manuales de cables,01/10/2016,,Opcional,No,,,
27111609,Enderezadores el‚ctricos de cables,01/10/2016,,Opcional,No,,,
27111610,Componentes de martillo y mazo,01/10/2016,,Opcional,No,,,
27111611,Martillo para picar piedra,01/10/2016,,Opcional,No,,,
27111612,Martillo o mazo que no saca chispas,01/10/2016,,Opcional,No,,,
27111613,Hachuela que no sacan chispas,01/10/2016,,Opcional,No,,,
27111614,Pica que no saca chispas,01/10/2016,,Opcional,No,,,
27111615,Alm dena o martillo macho,01/10/2016,,Opcional,No,,,
27111616,Martillo de bola,01/10/2016,,Opcional,No,,,
27111617,Martillo de caucho,01/10/2016,,Opcional,No,,,
27111618,Martillo de garra,01/10/2016,,Opcional,No,,,
27111619,Martillo de bola de cruz y derecho,01/10/2016,,Opcional,No,,,
27111620,Martillo de bola de pasador,01/10/2016,,Opcional,No,,,
27111621,Martillo mazo,01/10/2016,,Opcional,No,,,
27111622,Martillo de carpinter¡a,01/10/2016,,Opcional,No,,,
27111623,Tapador de botellas manual,01/10/2016,,Opcional,No,,,
27111700,Llaves inglesas y gu¡as,01/10/2016,,Opcional,No,,,
27111701,Destornilladores,01/10/2016,,Opcional,No,,,
27111702,Llaves para tuercas,01/10/2016,,Opcional,No,,,
27111703,Juegos de enchufes,01/10/2016,,Opcional,No,,,
27111704,Enchufes,01/10/2016,,Opcional,No,,,
27111705,Llaves de tuercas de boca cerrada,01/10/2016,,Opcional,No,,,
27111706,Llave de tuercas de boca abierta,01/10/2016,,Opcional,No,,,
27111707,Llaves ajustables,01/10/2016,,Opcional,No,,,
27111708,Llaves para tubos,01/10/2016,,Opcional,No,,,
27111709,Extractor de tornillos,01/10/2016,,Opcional,No,,,
27111710,Llaves allen,01/10/2016,,Opcional,No,,,
27111711,Trinquetes,01/10/2016,,Opcional,No,,,
27111712,Extractores,01/10/2016,,Opcional,No,,,
27111713,Llaves de combinaci¢n,01/10/2016,,Opcional,No,,,
27111714,Llaves de especialidad,01/10/2016,,Opcional,No,,,
27111715,Llaves de torsi¢n,01/10/2016,,Opcional,No,,,
27111716,Llave torx,01/10/2016,,Opcional,No,,,
27111717,Extractores de tuber¡a,01/10/2016,,Opcional,No,,,
27111718,Extractores de grifo,01/10/2016,,Opcional,No,,,
27111720,Llave manual en t para grifos,01/10/2016,,Opcional,No,,,
27111721,Manivelas,01/10/2016,,Opcional,No,,,
27111722,Troqueleras,01/10/2016,,Opcional,No,,,
27111723,Llaves de tubo,01/10/2016,,Opcional,No,,,
27111724,Llaves de gancho,01/10/2016,,Opcional,No,,,
27111725,Llaves tubulares de desplazamiento,01/10/2016,,Opcional,No,,,
27111726,Llaves de tuercas,01/10/2016,,Opcional,No,,,
27111727,Llaves macho con mango en t,01/10/2016,,Opcional,No,,,
27111728,Juego de destornilladores,01/10/2016,,Opcional,No,,,
27111729,Juego de llaves,01/10/2016,,Opcional,No,,,
27111730,Llave giratoria de dos extremos,01/10/2016,,Opcional,No,,,
27111731,Destornillador de precisi¢n,01/10/2016,,Opcional,No,,,
27111732,Destornillador que no saca chispas,01/10/2016,,Opcional,No,,,
27111733,Destornillador de mango flexible,01/10/2016,,Opcional,No,,,
27111734,Destornillador de m£ltiples puntas,01/10/2016,,Opcional,No,,,
27111735,Destornillador de trinquete,01/10/2016,,Opcional,No,,,
27111736,Destornillador aislado,01/10/2016,,Opcional,No,,,
27111737,Destornillador manual autom tico de empujar,01/10/2016,,Opcional,No,,,
27111738,Destornillador tester de voltaje,01/10/2016,,Opcional,No,,,
27111739,Destornillador de torque,01/10/2016,,Opcional,No,,,
27111740,Destornillador telesc¢pico,01/10/2016,,Opcional,No,,,
27111741,Destornillador de mango intercambiable,01/10/2016,,Opcional,No,,,
27111742,Destornillador de impacto,01/10/2016,,Opcional,No,,,
27111743,Llave de anillos,01/10/2016,,Opcional,No,,,
27111744,Llave de compensaci¢n de anillos,01/10/2016,,Opcional,No,,,
27111745,Llave de anillo dividido,01/10/2016,,Opcional,No,,,
27111746,Llave bulldog,01/10/2016,,Opcional,No,,,
27111747,Llave de caja,01/10/2016,,Opcional,No,,,
27111748,Llave de huella,01/10/2016,,Opcional,No,,,
27111749,Llave de tubo o stillson,01/10/2016,,Opcional,No,,,
27111750,Pinza de presi¢n,01/10/2016,,Opcional,No,,,
27111751,Llave de grifos,01/10/2016,,Opcional,No,,,
27111752,Llave de obstrucci¢n,01/10/2016,,Opcional,No,,,
27111753,Llave de trinquete,01/10/2016,,Opcional,No,,,
27111754,Llave en s,01/10/2016,,Opcional,No,,,
27111755,Llave en y,01/10/2016,,Opcional,No,,,
27111756,Llave de pata de cuervo,01/10/2016,,Opcional,No,,,
27111757,Llave de golpe especial o slugging,01/10/2016,,Opcional,No,,,
27111758,Llave dinamom‚trica de disparo autom tico,01/10/2016,,Opcional,No,,,
27111759,Llave de cuchilla,01/10/2016,,Opcional,No,,,
27111760,Llave de tuercas de llantas,01/10/2016,,Opcional,No,,,
27111761,Llave de bomba de agua,01/10/2016,,Opcional,No,,,
27111762,Llave de trinquete de cabeza flexible,01/10/2016,,Opcional,No,,,
27111763,Llave allen,01/10/2016,,Opcional,No,,,
27111764,Gu¡as de broca,01/10/2016,,Opcional,No,,,
27111765,Llave para destapar tambores,01/10/2016,,Opcional,No,,,
27111766,Llave de rin cruzado,01/10/2016,,Opcional,No,,,
27111767,Destornillador de compensaci¢n o en ?l?,01/10/2016,,Opcional,No,,,
27111800,Herramientas de medida y bocetaje,01/10/2016,,Opcional,No,,,
27111801,Cintas m‚tricas,01/10/2016,,Opcional,No,,,
27111802,Escalas,01/10/2016,,Opcional,No,,,
27111803,Escuadras,01/10/2016,,Opcional,No,,,
27111804,Plomadas,01/10/2016,,Opcional,No,,,
27111806,Calibrador de clavos,01/10/2016,,Opcional,No,,,
27111807,Bordes rectos,01/10/2016,,Opcional,No,,,
27111809,Biseles,01/10/2016,,Opcional,No,,,
27111810,Buscadores de pernos,01/10/2016,,Opcional,No,,,
27111811,Regla doblable,01/10/2016,,Opcional,No,,,
27111812,Regla larga,01/10/2016,,Opcional,No,,,
27111813,L¡nea de plomada,01/10/2016,,Opcional,No,,,
27111814,Espejo de inspecci¢n,01/10/2016,,Opcional,No,,,
27111815,Escuadra de combinaci¢n,01/10/2016,,Opcional,No,,,
27111816,Juego de bola indicadora,01/10/2016,,Opcional,No,,,
27111817,Regla de encogimiento,01/10/2016,,Opcional,No,,,
27111818,Soporte del indicador del,01/10/2016,,Opcional,No,,,
27111819,Esp‚cimen de comparaci¢n de rugosidad,01/10/2016,,Opcional,No,,,
27111820,Escuadra maestra,01/10/2016,,Opcional,No,,,
27111821,Escuadra cil¡ndrica,01/10/2016,,Opcional,No,,,
27111822,Instrumento de medici¢n de  ngulos,01/10/2016,,Opcional,No,,,
27111823,Calibrador de centro,01/10/2016,,Opcional,No,,,
27111824,Calibrador de  ngulo,01/10/2016,,Opcional,No,,,
27111825,Placa de seno,01/10/2016,,Opcional,No,,,
27111826,Placa de superficie de precisi¢n,01/10/2016,,Opcional,No,,,
27111827,Placa de  ngulo ajustable,01/10/2016,,Opcional,No,,,
27111828,Placa de  ngulo fijo,01/10/2016,,Opcional,No,,,
27111829,Paralelo ¢ptico,01/10/2016,,Opcional,No,,,
27111900,Herramientas gruesas y de acabado,01/10/2016,,Opcional,No,,,
27111901,Cortafr¡os,01/10/2016,,Opcional,No,,,
27111903,Cepillos de carpintero,01/10/2016,,Opcional,No,,,
27111904,Raspa,01/10/2016,,Opcional,No,,,
27111905,Esmeriladoras,01/10/2016,,Opcional,No,,,
27111906,Cinceles de madera,01/10/2016,,Opcional,No,,,
27111907,Cepillos de alambre,01/10/2016,,Opcional,No,,,
27111908,Piedras o herramientas o equipos de afilar,01/10/2016,,Opcional,No,,,
27111909,Esp tulas,01/10/2016,,Opcional,No,,,
27111910,Buriles,01/10/2016,,Opcional,No,,,
27111911,Formones,01/10/2016,,Opcional,No,,,
27111912,Perforador de madera,01/10/2016,,Opcional,No,,,
27111913,Arreglador de bordes,01/10/2016,,Opcional,No,,,
27111914,Cincel de punta de bola,01/10/2016,,Opcional,No,,,
27111915,Cincel de cantera,01/10/2016,,Opcional,No,,,
27111916,Removedor de techos,01/10/2016,,Opcional,No,,,
27111917,Aplicador de goma,01/10/2016,,Opcional,No,,,
27111918,Lija manual,01/10/2016,,Opcional,No,,,
27111919,Lima bastarda,01/10/2016,,Opcional,No,,,
27111920,Lima de segundo corte,01/10/2016,,Opcional,No,,,
27111921,Lima de corte liso,01/10/2016,,Opcional,No,,,
27111922,Lima de corte en cruz,01/10/2016,,Opcional,No,,,
27111923,Lima de sierra de cadena,01/10/2016,,Opcional,No,,,
27111924,Lima de corte raspa,01/10/2016,,Opcional,No,,,
27111925,Lima de aguja,01/10/2016,,Opcional,No,,,
27111926,Lima plana de aluminio,01/10/2016,,Opcional,No,,,
27111927,Lima de aluminio semicircular,01/10/2016,,Opcional,No,,,
27111928,Lima rallo de queso,01/10/2016,,Opcional,No,,,
27111929,Lima de mano plana,01/10/2016,,Opcional,No,,,
27111930,Lima redonda,01/10/2016,,Opcional,No,,,
27111931,Lima semicircular,01/10/2016,,Opcional,No,,,
27111932,Lima de escuadra,01/10/2016,,Opcional,No,,,
27111933,Lima triangular de tres escuadras,01/10/2016,,Opcional,No,,,
27111934,Lima plana c¢nica,01/10/2016,,Opcional,No,,,
27111935,Lima de navaja,01/10/2016,,Opcional,No,,,
27111936,Lima de guarda,01/10/2016,,Opcional,No,,,
27111937,Lima laminada,01/10/2016,,Opcional,No,,,
27111938,Lima de torno de  ngulo largo,01/10/2016,,Opcional,No,,,
27111939,Lima semicircular para tuber¡a,01/10/2016,,Opcional,No,,,
27111940,Lima de sierra maderera,01/10/2016,,Opcional,No,,,
27111941,Lima de sierra c¢nica,01/10/2016,,Opcional,No,,,
27111942,Lima de sierra de extremo doble,01/10/2016,,Opcional,No,,,
27111943,Lima de granjero,01/10/2016,,Opcional,No,,,
27111944,Lima de precisi¢n,01/10/2016,,Opcional,No,,,
27111945,Lima curva para grabar troqueles,01/10/2016,,Opcional,No,,,
27111946,Lima curva de plater¡a,01/10/2016,,Opcional,No,,,
27111948,Raspador semicircular de madera,01/10/2016,,Opcional,No,,,
27111949,Raspador semicircular de gabinete,01/10/2016,,Opcional,No,,,
27111950,Raspador circular de madera,01/10/2016,,Opcional,No,,,
27111951,Raspador de zapatas de cuatro en mano,01/10/2016,,Opcional,No,,,
27111952,Raspador de caballos,01/10/2016,,Opcional,No,,,
27111953,Raspador de peletero,01/10/2016,,Opcional,No,,,
27111954,Escariador c¢nico de v stago de puente,01/10/2016,,Opcional,No,,,
27111955,Escariador redondo de v stago de puente,01/10/2016,,Opcional,No,,,
27111956,Bru¤idor,01/10/2016,,Opcional,No,,,
27111957,Limpiador de boquillas,01/10/2016,,Opcional,No,,,
27111958,Lapeador de mano,01/10/2016,,Opcional,No,,,
27112000,"Herramientas manuales de jardiner¡a, agricultura y forestaci¢n",01/10/2016,,Opcional,No,,,
27112001,Machetes,01/10/2016,,Opcional,No,,,
27112002,Azadones,01/10/2016,,Opcional,No,,,
27112003,Rastrillos,01/10/2016,,Opcional,No,,,
27112004,Palas,01/10/2016,,Opcional,No,,,
27112005,Hachas,01/10/2016,,Opcional,No,,,
27112006,Guada¤as,01/10/2016,,Opcional,No,,,
27112007,Tijeras de podar,01/10/2016,,Opcional,No,,,
27112008,Azadas,01/10/2016,,Opcional,No,,,
27112009,Raspadores,01/10/2016,,Opcional,No,,,
27112010,Horquilla de jard¡n,01/10/2016,,Opcional,No,,,
27112011,Mangos de herramientas,01/10/2016,,Opcional,No,,,
27112012,Criba jardinera,01/10/2016,,Opcional,No,,,
27112013,Excavadora de hoyos para postes,01/10/2016,,Opcional,No,,,
27112014,Cortadora de pasto,01/10/2016,,Opcional,No,,,
27112015,Escarificador de prados,01/10/2016,,Opcional,No,,,
27112016,Tijeras para setos,01/10/2016,,Opcional,No,,,
27112017,Barras de cavar o barretones,01/10/2016,,Opcional,No,,,
27112018,Plantador de bulbos,01/10/2016,,Opcional,No,,,
27112019,Sierra podadora,01/10/2016,,Opcional,No,,,
27112020,Hoz,01/10/2016,,Opcional,No,,,
27112021,Aireador de c‚sped,01/10/2016,,Opcional,No,,,
27112022,Cizalla para bordes,01/10/2016,,Opcional,No,,,
27112023,Cultivador a mano,01/10/2016,,Opcional,No,,,
27112024,Juego de herramientas para jard¡n en miniatura,01/10/2016,,Opcional,No,,,
27112025,Azada de mango corto,01/10/2016,,Opcional,No,,,
27112026,Cu¤a de mango,01/10/2016,,Opcional,No,,,
27112027,Escoba de jard¡n,01/10/2016,,Opcional,No,,,
27112028,Descortezadora de  rboles,01/10/2016,,Opcional,No,,,
27112029,Regadera de jard¡n,01/10/2016,,Opcional,No,,,
27112030,Gancho podador,01/10/2016,,Opcional,No,,,
27112031,Cedazo de jard¡n,01/10/2016,,Opcional,No,,,
27112032,Azuela,01/10/2016,,Opcional,No,,,
27112033,Juego de herramientas de jard¡n,01/10/2016,,Opcional,No,,,
27112034,Cortador de ra¡ces,01/10/2016,,Opcional,No,,,
27112035,Cortador de setos,01/10/2016,,Opcional,No,,,
27112036,Trituradora de jard¡n,01/10/2016,,Opcional,No,,,
27112037,Cortador de brochas,01/10/2016,,Opcional,No,,,
27112038,Sierra de cadena de jard¡n,01/10/2016,,Opcional,No,,,
27112039,Podadora de 2 manos,01/10/2016,,Opcional,No,,,
27112040,Sonda de suelo,01/10/2016,,Opcional,No,,,
27112041,Cuchillo de injertos,01/10/2016,,Opcional,No,,,
27112042,Medidor de ancho de troncos,01/10/2016,,Opcional,No,,,
27112043,Herramienta para diagn¢stico de  rboles o resist¢grafo,01/10/2016,,Opcional,No,,,
27112044,Juego de inyecciones para troncos de  rboles,01/10/2016,,Opcional,No,,,
27112045,Cortador de c‚sped,01/10/2016,,Opcional,No,,,
27112046,Recogedor de pasto cortado,01/10/2016,,Opcional,No,,,
27112047,Cortador de ramas altas,01/10/2016,,Opcional,No,,,
27112100,Herramientas de sujeci¢n y fijaci¢n,01/10/2016,,Opcional,No,,,
27112101,Dobladores de tubos,01/10/2016,,Opcional,No,,,
27112102,Tornillos de banco,01/10/2016,,Opcional,No,,,
27112103,Pinza de mano,01/10/2016,,Opcional,No,,,
27112104,Tenazas,01/10/2016,,Opcional,No,,,
27112105,Pinzas,01/10/2016,,Opcional,No,,,
27112106,Alicates de guardal¡nea,01/10/2016,,Opcional,No,,,
27112107,Alicates boquianchos ajustables,01/10/2016,,Opcional,No,,,
27112108,Alicates de punta de aguja,01/10/2016,,Opcional,No,,,
27112109,Herramientas magn‚ticas,01/10/2016,,Opcional,No,,,
27112110,Pinzas de anillo de retenci¢n,01/10/2016,,Opcional,No,,,
27112111,Alicates de lagarto,01/10/2016,,Opcional,No,,,
27112112,Tenazas de ranura y lengeta,01/10/2016,,Opcional,No,,,
27112113,Alicates de articulaci¢n movible o de ranura,01/10/2016,,Opcional,No,,,
27112114,Pinzas de corte diagonal,01/10/2016,,Opcional,No,,,
27112115,Pinzas de cerrado,01/10/2016,,Opcional,No,,,
27112116,Pinzas de cerca,01/10/2016,,Opcional,No,,,
27112117,Tenazas de corte final,01/10/2016,,Opcional,No,,,
27112119,Cambiador de bombilla de luz,01/10/2016,,Opcional,No,,,
27112120,Grapas c,01/10/2016,,Opcional,No,,,
27112121,Grapa de  ngulo,01/10/2016,,Opcional,No,,,
27112122,Alicates de hoja met lica,01/10/2016,,Opcional,No,,,
27112123,Prensa de mesa,01/10/2016,,Opcional,No,,,
27112124,Tensionadores,01/10/2016,,Opcional,No,,,
27112125,Alicates de punta redonda,01/10/2016,,Opcional,No,,,
27112126,Alicates planos,01/10/2016,,Opcional,No,,,
27112127,Llaves de cinta,01/10/2016,,Opcional,No,,,
27112128,Alicates de punta curvada,01/10/2016,,Opcional,No,,,
27112129,Abrazaderas de mango redondo,01/10/2016,,Opcional,No,,,
27112130,Abrazaderas de tres garras,01/10/2016,,Opcional,No,,,
27112131,Abrazadera para la apertura de mand¡bula,01/10/2016,,Opcional,No,,,
27112132,Abrazaderas de fijaci¢n,01/10/2016,,Opcional,No,,,
27112133,Abrazaderas con mango en t,01/10/2016,,Opcional,No,,,
27112134,Alicates de punta larga,01/10/2016,,Opcional,No,,,
27112135,Alicates aislados,01/10/2016,,Opcional,No,,,
27112136,Alicates que no sacan chispa,01/10/2016,,Opcional,No,,,
27112137,Juego de alicates,01/10/2016,,Opcional,No,,,
27112138,Enderezador manual de tubos,01/10/2016,,Opcional,No,,,
27112139,Alicates de combinaci¢n,01/10/2016,,Opcional,No,,,
27112140,Alicates circlip,01/10/2016,,Opcional,No,,,
27112141,Alicates de vidrio,01/10/2016,,Opcional,No,,,
27112142,Alicates muli ? herramienta,01/10/2016,,Opcional,No,,,
27112143,Alicates para cortar baldosas,01/10/2016,,Opcional,No,,,
27112144,Alicates de nariz doblada,01/10/2016,,Opcional,No,,,
27112145,Alicates de articulaci¢n movible,01/10/2016,,Opcional,No,,,
27112146,Tornillo de base pivote,01/10/2016,,Opcional,No,,,
27112147,Alicates de engaste,01/10/2016,,Opcional,No,,,
27112148,Alicates electr¢nicos,01/10/2016,,Opcional,No,,,
27112149,Alicates electrost ticos,01/10/2016,,Opcional,No,,,
27112150,Alicates de joyer¡a,01/10/2016,,Opcional,No,,,
27112151,Alicates pelacables,01/10/2016,,Opcional,No,,,
27112152,Almeja triclover,01/10/2016,,Opcional,No,,,
27112153,Engrapadora de banda,01/10/2016,,Opcional,No,,,
27112154,Tornillo fresador,01/10/2016,,Opcional,No,,,
27112155,Expansor de anillo de pist¢n,01/10/2016,,Opcional,No,,,
27112156,Tornillo de mano,01/10/2016,,Opcional,No,,,
27112157,Tornillo de taladro,01/10/2016,,Opcional,No,,,
27112158,Tornillo de pata,01/10/2016,,Opcional,No,,,
27112159,Tornillo de cadena,01/10/2016,,Opcional,No,,,
27112160,Torcedor de cables,01/10/2016,,Opcional,No,,,
27112161,Herramienta para empacar cables,01/10/2016,,Opcional,No,,,
27112162,Uni¢n para reglas,01/10/2016,,Opcional,No,,,
27112200,Herramientas de alba¤iler¡a y concreto,01/10/2016,,Opcional,No,,,
27112201,Palustres,01/10/2016,,Opcional,No,,,
27112202,Palustres o llanas de madera,01/10/2016,,Opcional,No,,,
27112203,Bordeadoras,01/10/2016,,Opcional,No,,,
27112205,Vibradores de concreto,01/10/2016,,Opcional,No,,,
27112206,Tabla de mortero,01/10/2016,,Opcional,No,,,
27112207,Ariete de mano,01/10/2016,,Opcional,No,,,
27112208,Pica,01/10/2016,,Opcional,No,,,
27112209,Pala de mamposter¡a,01/10/2016,,Opcional,No,,,
27112210,Unidor de ladrillos,01/10/2016,,Opcional,No,,,
27112211,Llenador de uniones,01/10/2016,,Opcional,No,,,
27112212,Herramienta de frente de brocal,01/10/2016,,Opcional,No,,,
27112213,Chute de concreto,01/10/2016,,Opcional,No,,,
27112215,Alisador de bordes,01/10/2016,,Opcional,No,,,
27112216,Marcador de baldosas,01/10/2016,,Opcional,No,,,
27112217,Partidor de baldosas,01/10/2016,,Opcional,No,,,
27112218,Sierra el‚ctrica para baldosas,01/10/2016,,Opcional,No,,,
27112219,Pellizcador de baldosas,01/10/2016,,Opcional,No,,,
27112220,Sierra de mano para baldosas,01/10/2016,,Opcional,No,,,
27112221,Broca para baldosas,01/10/2016,,Opcional,No,,,
